S.No,Product Code,Brand Name,Product Name,Price,Original Price (Was Price),Discount Percentage,Offer Price,URL,Category
104,464842836_pink,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464842836_pink,Scarves and Stoles
105,462941085_black,Bruun & Stengade,Striped Silk Scarves,"₹4,999","₹4,999",(0% off),"₹4,999",https://www.ajio.com/bruun--stengade-striped-silk-scarves/p/462941085_black,Scarves and Stoles
106,463890691_multi,THE TIE HUB,Checked Scarf with Fringes,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-scarf-with-fringes/p/463890691_multi,Scarves and Stoles
107,463648644_grey,THE TIE HUB,Solid Scarf,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-solid-scarf/p/463648644_grey,Scarves and Stoles
108,464929295_green,TOSSIDO,Floral Print Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-stole/p/464929295_green,Scarves and Stoles
109,462439236_pink,Aditi Wasan,Stole with Tassels Accent,₹700,"₹1,399",(50% off),₹700,https://www.ajio.com/aditi-wasan-stole-with-tassels-accent/p/462439236_pink,Scarves and Stoles
110,463535707_grey,Bruun & Stengade,Geometric Printed Regular Scarf,"₹4,999","₹4,999",(0% off),"₹4,999",https://www.ajio.com/bruun--stengade-geometric-printed-regular-scarf/p/463535707_grey,Scarves and Stoles
111,466087791_black,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466087791_black,Scarves and Stoles
112,466488148_navy,Heelium,Pack of 2 Unisex Bandanas with Logo Print,₹499,₹999,(50% off),₹499,https://www.ajio.com/heelium-pack-of-2-unisex-bandanas-with-logo-print/p/466488148_navy,Scarves and Stoles
113,466488050_navy,Heelium,Brand Print Bamboo Bandana,₹299,₹499,(40% off),₹299,https://www.ajio.com/heelium-brand-print-bamboo-bandana/p/466488050_navy,Scarves and Stoles
114,466488148_white,Heelium,Pack of 2 Bandana,₹499,₹999,(50% off),₹499,https://www.ajio.com/heelium-pack-of-2-bandana/p/466488148_white,Scarves and Stoles
115,466087535_grey,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466087535_grey,Scarves and Stoles
116,465431913_black,Heelium,Pack of 3 Bamboo Bandanas,₹555,"₹1,499",(63% off),₹555,https://www.ajio.com/heelium-pack-of-3-bamboo-bandanas/p/465431913_black,Scarves and Stoles
117,463290738_red,Gant,Checked Scarf with Fringes,"₹6,299","₹6,999",(10% off),"₹6,299",https://www.ajio.com/gant-checked-scarf-with-fringes/p/463290738_red,Scarves and Stoles
118,463890669_multi,THE TIE HUB,Checked Scarf with Fringes,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-scarf-with-fringes/p/463890669_multi,Scarves and Stoles
119,466492360_white,Heelium,Pack of 3 Unisex Heathered Bandanas,₹699,"₹1,499",(53% off),₹699,https://www.ajio.com/heelium-pack-of-3-unisex-heathered-bandanas/p/466492360_white,Scarves and Stoles
120,466086133_navy,THE TIE HUB,Chevron Pattern Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-chevron-pattern-men-scarf-with-fringed-hem/p/466086133_navy,Scarves and Stoles
121,466087780_black,THE TIE HUB,Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub--men-scarf-with-fringed-hem/p/466087780_black,Scarves and Stoles
122,466087799_grey,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466087799_grey,Scarves and Stoles
123,466086151_grey,THE TIE HUB,Printed Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-printed-men-scarf-with-fringed-hem/p/466086151_grey,Scarves and Stoles
124,466087788_multi,THE TIE HUB,Block Print Men Scarf with Frayed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-block-print-men-scarf-with-frayed-hem/p/466087788_multi,Scarves and Stoles
125,466086150_grey,THE TIE HUB,Chevron Pattern Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-chevron-pattern-men-scarf-with-fringed-hem/p/466086150_grey,Scarves and Stoles
126,466086696_grey,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466086696_grey,Scarves and Stoles
127,466086481_yellow,THE TIE HUB,Printed Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-printed-men-scarf-with-fringed-hem/p/466086481_yellow,Scarves and Stoles
128,466086556_grey,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466086556_grey,Scarves and Stoles
129,466086573_grey,THE TIE HUB,Geometric Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-geometric-print-men-scarf-with-fringed-hem/p/466086573_grey,Scarves and Stoles
130,466090844_multi,THE TIE HUB,Indian,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-indian/p/466090844_multi,Scarves and Stoles
131,466090832_grey,THE TIE HUB,Checks,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checks/p/466090832_grey,Scarves and Stoles
